Setting,Method,Merging,cluster_id,size,purity,mean_radius,nearest_cluster_dist,mean_prob,reliability_score,accepted,reason,sub_scores
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,2,30,0.9666666666666667,1.4990160465240479,4.9039764404296875,0.7511548192412625,0.5666919901703494,True,accepted,"{'compactness': 0.36383253128174464, 'separation': 0.665901873477188, 'hdb_prob': 0.7511548192412625}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,3,31,1.0,0.8513297438621521,4.168116569519043,0.7904558756236342,0.6461948370804956,True,accepted,"{'compactness': 0.563150781374342, 'separation': 0.6061611921291632, 'hdb_prob': 0.7904558756236342}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,4,16,1.0,0.6490509510040283,6.483053207397461,0.9156641077085763,0.7676148196600826,True,accepted,"{'compactness': 0.645471539739612, 'separation': 0.7652736554959805, 'hdb_prob': 0.9156641077085763}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,5,27,1.0,1.5631871223449707,4.90179967880249,0.752650358258289,0.5588997241957966,True,accepted,"{'compactness': 0.3484209414889595, 'separation': 0.6657392513031023, 'hdb_prob': 0.752650358258289}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,6,50,0.98,1.475339651107788,4.394693374633789,0.8369233916018508,0.5784638712428953,True,accepted,"{'compactness': 0.3696893361866552, 'separation': 0.6256134677036436, 'hdb_prob': 0.8369233916018508}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,7,84,0.7857142857142857,2.727039098739624,3.8248531818389893,0.8506864119311165,0.42672061154844554,True,accepted,"{'compactness': 0.1589218212758426, 'separation': 0.5747484819782722, 'hdb_prob': 0.8506864119311165}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,8,29,0.896551724137931,1.7416470050811768,5.396354675292969,0.8809632040696501,0.5755878779552646,True,accepted,"{'compactness': 0.30890787821190047, 'separation': 0.7007258891156399, 'hdb_prob': 0.8809632040696501}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,9,89,0.9887640449438202,2.441676378250122,3.8248531818389893,0.9626537475318917,0.4741405124322609,True,accepted,"{'compactness': 0.19265188178770523, 'separation': 0.5747484819782722, 'hdb_prob': 0.9626537475318917}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,10,26,1.0,0.5378836393356323,2.608430862426758,0.8094963777704358,0.6289914095866722,True,accepted,"{'compactness': 0.6957299881479563, 'separation': 0.4418537136039461, 'hdb_prob': 0.8094963777704358}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,11,11,1.0,0.6117940545082092,2.608430862426758,1.0,0.6637782553505742,True,accepted,"{'compactness': 0.6618972160826909, 'separation': 0.4418537136039461, 'hdb_prob': 1.0}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,12,42,0.7380952380952381,1.4898921251296997,4.254237174987793,0.8333774441187638,0.5720718070649148,True,accepted,"{'compactness': 0.3660784363276181, 'separation': 0.6136712061848675, 'hdb_prob': 0.8333774441187638}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,13,25,1.0,0.8374729752540588,5.254715442657471,0.8994365458224425,0.7069650194467539,True,accepted,"{'compactness': 0.5684387523467359, 'separation': 0.6910978933012595, 'hdb_prob': 0.8994365458224425}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,14,34,0.9411764705882353,1.1771612167358398,4.8522748947143555,0.8683814912667017,0.6381463927480132,True,accepted,"{'compactness': 0.452043971126311, 'separation': 0.6620178754071961, 'hdb_prob': 0.8683814912667017}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,15,33,0.8484848484848485,1.3000723123550415,4.5515522956848145,0.9236380020107879,0.6260608340473982,True,accepted,"{'compactness': 0.4160801665960484, 'separation': 0.6385145506927894, 'hdb_prob': 0.9236380020107879}"
